Date,Open,High,Low,Close,Volume
2019-01-31,9.39,11.2,9.15,11.1,18163149.71
2019-02-28,11.2,12.66,10.9,12.36,19114744.009999998
2019-03-31,12.48,13.38,12.01,12.82,26713025.9
2019-04-30,12.83,14.84,12.83,13.85,25931696.54
2019-05-31,13.1,13.35,11.93,12.18,18649612.2
2019-06-30,12.22,13.95,11.6,13.78,16621581.78
2019-07-31,14.01,14.55,13.44,14.13,16523359.38
2019-08-31,14.06,15.22,13.03,14.16,29932903.43
2019-09-30,14.15,16.04,14.11,15.59,25386547.85
2019-10-31,15.6,17.6,15.6,16.26,20192335.78
2019-11-30,16.35,17.44,15.18,15.29,16401425.37
2019-12-31,15.35,16.93,15.21,16.45,15163548.96
