Date,Open,High,Low,Close,Volume
2010-01-08,29.0,29.1,25.3,26.19,1226232.0
2010-01-15,26.55,26.66,25.18,25.91,939975.56
2010-01-22,25.9,26.15,23.74,24.0,757772.37
2010-01-29,24.01,24.75,23.5,23.94,530363.78
2010-02-05,24.01,25.23,23.51,23.79,497827.05
2010-02-12,23.78,24.45,22.8,24.28,381304.16000000003
2010-02-26,24.25,26.7,23.9,25.98,787256.2000000001
2010-03-05,25.98,27.26,25.7,26.9,807301.66
2010-03-12,26.92,27.08,25.72,26.01,482848.81
2010-03-19,25.91,26.96,25.18,26.91,402536.13
2010-03-26,26.91,28.0,26.65,27.59,601403.44
2010-04-02,27.6,28.99,27.41,28.48,562429.66
2010-04-09,28.72,28.72,26.36,26.96,559139.37
2010-04-16,27.0,27.11,25.81,26.46,532505.48
2010-04-23,26.3,26.3,23.82,24.74,1015084.84
2010-04-30,24.9,25.14,21.21,21.97,1175585.88
2010-05-07,21.54,22.25,19.8,20.0,691188.96
2010-05-14,20.04,20.74,19.08,20.22,732449.1
2010-05-21,20.23,21.3,18.89,21.2,1160676.6099999999
2010-05-28,21.49,22.23,20.08,20.82,1104434.72
2010-06-04,20.82,21.6,20.05,20.56,977992.24
2010-06-11,20.06,21.5,19.69,20.9,891651.81
2010-06-18,21.2,21.26,20.0,20.2,216999.38
2010-06-25,20.23,21.25,20.06,20.53,448439.3
2010-07-02,20.58,20.61,17.7,18.19,628229.1
2010-07-09,18.05,21.15,17.62,20.6,868059.54
2010-07-16,20.87,21.05,12.65,13.01,736760.72
2010-07-23,12.99,14.87,12.9,14.63,1825745.89
2010-07-30,14.69,15.08,14.28,14.95,1285054.51
2010-08-06,14.95,15.6,14.13,14.77,1851706.48
2010-08-13,14.7,14.92,14.1,14.4,1221127.65
2010-08-20,14.35,16.08,14.2,15.39,2562136.8600000003
2010-08-27,15.38,15.73,15.03,15.2,1021686.61
2010-09-03,15.26,15.65,14.75,15.35,1901332.6400000001
2010-09-10,15.43,15.65,14.65,14.67,1376800.56
2010-09-17,14.69,15.18,13.78,13.87,1369493.85
2010-09-24,14.05,14.33,14.0,14.15,211530.67
2010-10-01,14.29,14.3,13.63,14.18,828522.5800000001
2010-10-08,14.5,14.83,14.28,14.65,323814.22
2010-10-15,14.69,17.26,14.69,17.05,4025027.9
2010-10-22,17.05,18.63,16.2,17.95,2272976.5
2010-10-29,19.0,20.15,18.18,18.5,2502687.7
2010-11-05,18.56,19.83,17.9,18.38,1969981.72
2010-11-12,18.4,18.82,16.25,16.66,2860479.89
2010-11-19,16.68,17.19,15.8,17.19,2006779.0899999999
2010-11-26,17.0,17.58,16.11,17.22,1630628.74
2010-12-03,17.1,18.33,16.49,17.78,1702519.67
2010-12-10,17.83,18.22,16.9,17.18,1218140.8900000001
2010-12-17,17.25,18.38,17.25,17.92,1286875.12
2010-12-24,18.03,19.18,17.78,18.11,1928168.6
2010-12-31,18.08,18.5,17.07,18.13,1157179.3599999999
2011-01-07,18.2,18.38,17.65,17.7,821485.8099999999
2011-01-14,17.61,17.88,16.97,17.13,895612.32
2011-01-21,17.0,17.25,16.01,16.21,939310.9099999999
2011-01-28,16.3,17.3,15.9,17.15,826155.0900000001
2011-02-04,17.15,17.3,16.94,17.04,177686.6
2011-02-11,16.9,18.9,16.8,18.39,1068063.82
2011-02-18,18.45,19.62,18.37,18.51,2191342.49
2011-02-25,18.5,20.52,18.45,20.13,2101919.8
2011-03-04,20.19,21.96,20.19,21.6,2096314.4
2011-03-11,21.88,23.11,21.77,21.98,1496491.28
2011-03-18,21.9,22.2,20.88,21.43,1264072.76
2011-03-25,21.64,24.15,20.72,23.96,1430766.75
2011-04-01,23.98,24.4,22.2,22.82,1111617.44
2011-04-08,22.7,24.38,21.95,23.8,684610.39
2011-04-15,23.7,24.34,22.05,22.55,1064806.2
2011-04-22,22.38,23.01,21.75,22.77,708642.7
2011-04-29,22.76,22.89,21.2,21.98,757094.8999999999
2011-05-06,21.94,22.4,21.55,21.81,413280.42
2011-05-13,22.03,24.05,22.03,23.15,1275726.79
2011-05-20,23.13,23.78,22.68,23.54,777282.69
2011-05-27,23.57,23.6,21.0,21.49,840594.29
2011-06-03,21.2,21.8,20.91,21.69,634465.12
2011-06-10,21.64,22.24,20.7,21.01,552154.76
2011-06-17,20.89,22.08,20.69,21.25,601864.9
2011-06-24,21.16,23.73,21.16,23.28,1269719.59
2011-07-01,23.32,23.97,22.72,23.49,1008999.05
2011-07-08,23.62,24.0,22.85,23.4,991661.7
2011-07-15,23.44,24.61,23.01,23.86,1473748.6400000001
2011-07-22,23.81,23.95,22.63,23.59,1182301.54
2011-07-29,23.44,23.88,22.68,23.17,911607.72
2011-08-05,23.17,23.33,21.65,22.05,727916.77
2011-08-12,21.79,22.39,20.45,22.05,886990.34
2011-08-19,22.06,22.25,20.21,20.6,868266.9199999999
2011-08-26,20.58,21.43,20.05,21.29,625877.36
2011-09-02,21.11,21.26,20.4,20.8,547442.2999999999
2011-09-09,20.51,20.67,18.76,19.79,711721.1
2011-09-16,19.36,19.8,19.18,19.64,211425.33000000002
2011-09-23,19.48,20.18,18.94,19.59,588496.75
2011-09-30,19.21,20.45,19.21,19.99,604970.64
2011-10-14,20.09,20.27,18.5,19.46,688756.87
2011-10-21,19.54,20.15,17.86,17.9,699141.1799999999
2011-10-28,18.0,20.26,18.0,19.87,762938.47
2011-11-04,19.81,20.43,19.0,20.38,706769.63
2011-11-11,20.3,20.36,19.3,19.39,462277.89
2011-11-18,19.6,20.0,18.5,18.59,557701.22
2011-11-25,18.59,18.6,17.6,17.85,703060.59
2011-12-02,17.9,18.12,17.21,17.45,608752.46
2011-12-09,17.52,17.58,16.4,16.57,497234.64
2011-12-16,16.57,17.08,16.16,17.03,523980.70999999996
2011-12-23,16.86,17.7,16.52,17.46,622075.36
2011-12-30,17.35,17.62,16.46,17.29,568870.3300000001
2012-01-06,17.5,18.14,17.07,17.48,710871.78
2012-01-13,17.53,18.66,17.12,17.55,1379631.03
2012-01-20,18.41,18.93,17.66,18.77,763739.5
2012-02-03,18.78,18.8,17.81,18.65,744950.12
2012-02-10,18.59,19.15,18.26,18.96,646555.37
2012-02-17,18.7,19.0,18.35,18.63,581204.23
2012-02-24,18.8,19.99,18.76,19.9,842796.29
2012-03-02,20.0,21.35,19.71,21.21,919158.69
2012-03-09,21.37,21.75,20.8,21.6,779492.73
2012-03-16,21.62,21.68,20.19,20.7,827677.91
2012-03-23,20.71,20.85,19.9,20.45,518451.42
2012-03-30,20.34,21.08,19.46,20.33,638233.35
2012-04-06,20.33,20.99,20.15,20.84,199382.88
2012-04-13,20.73,21.87,20.19,21.73,601775.16
2012-04-20,21.6,21.9,21.0,21.6,443611.82999999996
2012-04-27,21.62,21.94,20.67,21.89,733668.97
2012-05-04,22.3,22.6,21.89,22.05,619012.22
2012-05-11,22.0,22.33,21.57,21.6,779158.09
2012-05-18,21.66,22.3,21.15,21.63,943769.4
2012-05-25,21.48,22.23,21.48,21.73,462691.3
2012-06-01,21.37,22.94,21.12,22.58,965811.88
2012-06-08,22.2,22.79,21.05,21.08,811965.9400000001
2012-06-15,21.09,22.09,21.09,21.87,670242.76
2012-06-22,21.8,22.2,21.4,21.69,343244.15
2012-06-29,21.61,21.99,20.39,20.85,693152.63
2012-07-06,21.0,21.89,20.7,21.44,594363.62
2012-07-13,21.34,22.22,20.66,22.11,747550.51
2012-07-20,22.15,22.53,21.41,21.49,632085.76
2012-07-27,21.35,21.64,20.85,20.98,351224.06
2012-08-03,20.93,21.91,20.6,20.96,445196.08999999997
2012-08-10,20.96,21.26,20.53,20.96,449887.08
2012-08-17,20.9,21.04,20.13,20.85,523477.17000000004
2012-08-24,20.77,20.85,19.5,20.13,576872.73
2012-08-31,20.13,20.83,19.91,20.47,352208.67
2012-09-07,20.4,21.8,20.2,21.45,470749.64
2012-09-14,21.45,21.78,20.7,20.94,469243.08999999997
2012-09-21,20.85,21.0,19.85,20.39,452538.30000000005
2012-09-28,20.35,21.57,19.94,21.38,402969.11
2012-10-12,21.45,21.76,21.0,21.55,346998.76999999996
2012-10-19,21.65,21.91,21.26,21.8,364815.77
2012-10-26,21.7,21.99,20.66,21.14,309166.89
2012-11-02,21.13,23.76,20.85,23.22,870527.5
2012-11-09,23.29,23.79,22.71,22.8,681005.45
2012-11-16,22.83,23.11,22.35,22.75,452400.67000000004
2012-11-23,22.7,23.22,22.35,23.0,425987.48
2012-11-30,22.98,23.54,22.36,23.47,502135.61
2012-12-07,23.45,24.13,21.6,22.54,1644917.35
2012-12-14,22.56,23.99,22.23,23.98,892988.2999999999
2012-12-21,24.12,26.16,23.61,25.6,1283900.4300000002
2012-12-28,25.45,26.16,24.94,25.4,963287.5
2013-01-04,25.42,26.05,24.97,25.32,558834.5700000001
2013-01-11,25.32,26.49,25.25,26.0,923965.16
2013-01-18,26.0,28.77,25.9,28.3,979189.45
2013-01-25,28.52,28.97,27.9,28.29,861625.77
2013-02-01,28.35,29.83,28.35,29.63,843614.95
2013-02-08,29.55,29.99,28.01,29.71,889295.66
2013-02-22,29.88,29.89,27.21,27.56,718482.89
2013-03-01,27.78,29.75,27.36,29.66,762025.45
2013-03-08,28.77,28.77,27.1,27.56,1154673.51
2013-03-15,27.4,28.2,26.22,27.8,738856.0700000001
2013-03-22,27.8,29.19,27.02,29.0,743169.9299999999
2013-03-29,29.09,29.55,27.97,28.57,531195.7
2013-04-05,28.62,29.5,28.0,28.7,349493.88
2013-04-12,28.45,29.17,25.95,26.2,1420791.26
2013-04-19,26.16,27.85,26.05,27.66,695044.61
2013-04-26,27.52,27.77,25.3,26.0,1270441.41
2013-05-03,26.01,26.95,25.5,26.63,399008.99
2013-05-10,26.77,27.44,26.43,26.95,658407.05
2013-05-17,26.88,27.08,25.1,25.89,1087739.85
2013-05-24,25.85,28.42,25.81,27.04,1259916.95
2013-05-31,27.08,27.63,26.58,26.81,660733.79
2013-06-07,27.0,27.09,25.24,25.46,647217.12
2013-06-14,25.08,25.1,24.2,24.65,364220.85
2013-06-21,24.7,26.2,23.9,25.1,1287647.44
2013-06-28,24.95,25.7,22.9,25.06,1327676.73
2013-07-05,25.18,26.49,24.05,25.75,841565.13
2013-07-12,25.51,26.07,24.48,24.8,684250.72
2013-07-19,24.95,25.5,23.1,23.22,959925.75
2013-07-26,23.28,25.62,23.16,25.49,835448.75
2013-08-02,25.35,26.69,24.75,25.72,940275.62
2013-08-09,25.77,27.39,25.3,27.0,756001.14
2013-08-16,27.36,27.66,26.68,26.8,689023.47
2013-08-23,26.88,28.53,25.66,26.0,1169481.56
2013-08-30,26.14,26.49,25.55,26.07,564366.1
2013-09-06,26.0,26.24,25.28,25.5,711183.76
2013-09-13,25.62,27.27,25.4,26.95,926912.1799999999
2013-09-20,25.65,26.49,25.45,25.7,582853.05
2013-09-27,25.74,28.51,25.7,27.27,1349318.87
2013-10-04,27.13,27.53,26.41,26.56,165925.5
2013-10-11,26.59,27.52,26.05,27.08,742360.41
2013-10-18,27.22,28.72,26.69,27.0,941371.48
2013-10-25,27.15,29.09,26.98,28.27,1233252.55
2013-11-01,28.99,32.1,28.32,30.6,1519351.27
2013-11-08,30.61,31.04,28.51,28.89,1021134.1699999999
2013-11-15,28.75,30.3,28.4,29.9,870969.62
2013-11-22,30.2,31.88,29.73,30.91,1015614.3300000001
2013-11-29,30.8,31.66,30.65,31.2,707175.12
2013-12-06,30.8,32.49,30.09,32.38,734495.88
2013-12-13,32.91,34.29,32.01,34.29,883274.8
2013-12-20,34.3,34.34,30.5,30.5,762312.78
2013-12-27,31.6,33.2,31.18,32.15,679550.15
2014-01-03,32.16,33.0,30.66,30.99,675036.65
2014-01-10,31.0,31.0,29.25,29.48,799868.1
2014-01-17,29.46,29.89,27.85,28.07,949681.75
2014-01-24,28.07,30.85,27.92,30.0,945004.8200000001
2014-01-31,29.85,29.85,27.88,28.36,708012.15
2014-02-07,28.0,28.79,27.77,28.75,147117.36
2014-02-14,29.0,32.2,28.95,31.63,1521078.3
2014-02-21,31.8,33.3,29.79,30.5,1900846.52
2014-02-28,30.12,30.12,25.9,27.75,2246538.75
2014-03-07,27.6,28.58,26.99,27.76,1016316.51
2014-03-14,27.69,28.58,27.02,27.59,1032785.3500000001
2014-03-21,27.67,27.96,26.09,27.12,968497.58
2014-03-28,27.22,27.85,26.61,27.6,826621.96
2014-04-04,28.0,28.87,27.73,28.47,902479.06
2014-04-11,28.29,31.39,28.25,31.31,1626675.37
2014-04-18,31.3,31.35,28.91,29.68,1043255.71
2014-04-25,29.4,30.33,28.92,29.47,846513.24
2014-05-02,29.38,30.5,28.91,30.11,540377.4299999999
2014-05-09,30.01,30.6,29.04,29.51,625001.28
2014-05-16,29.87,29.89,29.06,29.42,462184.1
2014-05-23,29.21,29.65,28.88,29.3,396950.77
2014-05-30,29.4,31.28,29.4,30.96,739987.24
2014-06-06,30.98,31.15,29.21,29.45,503144.28
2014-06-13,29.31,29.97,29.02,29.63,647826.58
2014-06-20,29.66,30.04,28.88,29.05,593751.81
2014-06-27,29.06,29.61,28.68,29.36,441456.79
2014-07-04,29.36,29.73,27.48,28.03,1033332.17
2014-07-11,28.03,28.09,27.24,27.68,751635.74
2014-07-18,27.69,28.89,27.65,28.64,833423.44
2014-07-25,28.65,29.85,28.46,29.68,869731.74
2014-08-01,29.88,30.75,29.7,30.24,1016519.5
2014-08-08,30.38,30.89,29.46,29.68,628886.67
2014-08-15,29.7,29.95,29.1,29.57,590465.67
2014-08-22,29.72,29.85,29.0,29.64,722191.3300000001
2014-08-29,29.7,29.73,28.07,28.44,900352.22
2014-09-05,28.5,29.89,28.5,29.58,1005321.51
2014-09-12,29.53,29.95,28.84,29.2,769735.73
2014-09-19,28.95,29.03,28.46,28.69,834994.21
2014-09-26,28.67,28.86,28.03,28.34,882044.5599999999
2014-10-03,28.3,28.34,27.55,27.73,626596.23
2014-10-10,27.74,28.49,27.73,28.0,756771.57
2014-10-17,27.88,27.88,27.25,27.8,891823.92
2014-10-24,27.89,28.0,27.3,27.34,666253.05
2014-10-31,27.25,28.5,26.41,28.4,1415211.11
2014-11-07,28.46,28.77,27.96,28.21,1019311.88
2014-11-14,28.33,29.58,28.25,28.93,1390196.15
2014-11-21,29.52,29.59,28.06,28.67,885987.56
2014-11-28,28.97,30.75,28.88,30.29,2006167.1
2014-12-05,30.68,37.42,30.68,35.51,2468064.98
2014-12-12,35.06,39.34,33.8,36.96,2253466.45
2014-12-19,37.33,37.78,35.7,36.9,1809014.54
2014-12-26,37.0,39.18,36.08,37.58,1910952.63
2015-01-02,37.5,38.28,35.0,37.12,1327366.21
2015-01-09,37.9,43.35,37.9,41.0,3132454.04
2015-01-16,40.8,44.22,40.21,42.88,1598121.48
2015-01-23,41.19,44.44,38.59,43.01,1778370.84
2015-01-30,43.39,43.54,40.3,40.4,1356411.4100000001
2015-02-06,39.77,40.76,38.06,38.5,1285073.2
2015-02-13,38.8,40.17,38.59,39.18,1180021.9100000001
2015-02-20,39.19,41.7,38.5,40.99,919999.4199999999
2015-02-27,41.09,41.86,40.4,40.53,979524.61
2015-03-06,40.57,41.77,38.41,38.59,2019043.03
2015-03-13,38.2,40.37,37.51,39.92,1538895.07
2015-03-20,40.28,45.02,39.92,42.29,2661978.12
2015-03-27,42.47,43.93,40.84,43.1,2430095.92
2015-04-03,43.25,46.5,43.21,43.99,2662771.2
2015-04-10,44.04,45.35,43.4,44.86,2210520.4499999997
