Date,Open,High,Low,Close,Volume
2010-01-08,17.93,18.11,16.68,16.91,4257456.95
2010-01-15,17.88,17.91,15.95,16.31,6760021.29
2010-01-22,16.1,16.85,15.8,16.67,5880804.46
2010-01-29,16.39,16.79,14.94,15.17,5378800.21
2010-02-05,15.19,16.09,14.86,15.48,4045929.95
2010-02-12,15.48,15.81,15.08,15.78,2172144.36
2010-02-26,15.7,16.05,15.2,15.9,2458536.58
2010-03-05,15.95,16.56,15.9,16.12,3474688.04
2010-03-19,15.31,15.77,14.8,15.53,2930237.31
2010-03-26,15.53,15.98,15.29,15.74,2797995.48
2010-04-02,15.87,16.52,15.85,16.29,4261812.91
2010-04-09,16.41,16.68,15.75,16.04,2801324.71
2010-04-16,16.13,16.25,15.6,15.69,4174621.42
2010-04-23,15.38,15.38,13.99,14.17,7578341.51
2010-04-30,14.21,14.28,13.51,14.27,3955752.57
2010-05-07,13.97,14.23,12.91,13.36,3561062.2199999997
2010-05-14,13.38,14.09,13.1,13.88,4384292.14
2010-05-21,13.7,13.98,13.11,13.67,3224937.41
2010-05-28,13.73,14.21,13.36,13.62,3672630.11
2010-06-04,13.48,13.61,13.03,13.18,2650725.3200000003
2010-06-11,13.0,13.15,12.31,12.73,4075898.82
2010-06-18,13.0,13.07,12.73,12.86,1151554.13
2010-06-25,12.95,13.51,12.88,13.39,2873367.59
2010-07-02,13.4,13.77,12.56,12.91,3387155.52
2010-07-09,12.8,13.85,12.66,13.63,3163540.44
2010-07-16,13.64,14.08,13.36,13.65,3510403.4
2010-07-23,13.54,14.48,13.48,14.27,4221512.109999999
2010-07-30,14.3,14.66,14.02,14.52,3155404.21
2010-08-06,14.48,14.89,13.85,14.18,3703000.67
2010-08-13,14.13,14.46,13.33,13.72,3391230.99
2010-08-20,13.6,14.39,13.55,14.09,3941238.07
2010-08-27,14.1,14.45,13.5,13.59,2813634.68
2010-09-03,13.65,13.88,13.42,13.64,3978192.0700000003
2010-09-10,13.68,14.07,13.14,13.28,4302634.779999999
2010-09-17,13.27,13.49,12.65,12.85,4380807.279999999
2010-09-24,12.84,13.03,12.72,12.87,837567.81
2010-10-01,12.9,13.01,12.51,12.95,2371726.52
2010-10-08,13.1,13.55,12.93,13.44,1111730.82
2010-10-15,13.5,15.32,13.47,15.23,10368451.68
2010-10-22,15.55,16.08,14.76,15.02,8629298.5
2010-10-29,15.03,15.35,14.41,14.57,6051633.49
2010-11-05,14.61,15.75,14.55,15.44,6744853.33
2010-11-12,15.58,15.85,13.97,13.99,7529635.2
2010-11-19,14.11,14.29,13.1,13.56,5346382.78
2010-11-26,13.37,13.56,12.97,13.26,4439856.41
2010-12-03,13.23,13.43,12.91,13.2,2983736.6100000003
2010-12-10,13.26,13.66,12.95,13.15,3669363.94
2010-12-17,13.17,13.46,13.05,13.13,3154483.7
2010-12-24,13.16,13.41,12.78,13.23,3629870.12
2010-12-31,13.38,13.47,12.5,12.81,4259279.96
2011-01-07,12.91,13.55,12.78,13.25,4189233.88
2011-01-14,13.24,13.37,12.95,13.05,3516617.69
2011-01-21,12.99,13.07,12.5,12.71,2972709.2800000003
2011-01-28,12.7,12.77,12.49,12.59,2625369.79
2011-02-04,12.59,12.74,12.58,12.7,886667.03
2011-02-11,12.67,12.79,12.52,12.71,1663186.53
2011-02-18,12.72,13.36,12.72,13.11,4606150.55
2011-02-25,13.0,13.1,12.61,12.75,3379375.46
2011-03-04,12.79,14.39,12.67,14.22,10170272.450000001
2011-03-11,14.32,14.58,13.58,13.66,6331963.71
2011-03-18,13.6,13.85,13.32,13.41,3788457.69
2011-03-25,13.48,14.4,13.42,14.3,4119872.01
2011-04-01,14.35,14.62,13.92,14.33,4908823.67
2011-04-08,14.4,14.95,14.4,14.92,3422065.63
2011-04-15,14.9,15.53,14.7,15.18,5154070.27
2011-04-22,15.06,15.25,14.51,14.65,3048271.09
2011-04-29,14.59,15.0,14.1,14.46,3915097.38
2011-05-06,14.49,14.55,13.85,14.04,2068214.79
2011-05-13,14.08,14.26,13.81,14.06,1486149.2
2011-05-20,13.98,14.43,13.76,14.27,1982556.38
2011-05-27,14.2,14.23,13.56,13.79,1911159.52
