ts_code,Date,Open,High,Low,Close,pre_close,change,pct_chg,Volume,amount
000651.SZ,2010-01-04,29.0,29.1,28.15,28.16,28.94,-0.78,-2.7,90970.74,259351.8171
000651.SZ,2010-01-05,28.2,28.43,27.25,27.34,28.16,-0.82,-2.91,168777.11,465800.9483
000651.SZ,2010-01-06,27.42,27.64,26.51,26.75,27.34,-0.59,-2.16,300022.06,805978.4861
000651.SZ,2010-01-07,26.77,26.84,25.3,25.6,26.75,-1.15,-4.3,465363.3,1198047.8159
000651.SZ,2010-01-08,25.58,26.19,25.31,26.19,25.6,0.59,2.3,201098.79,519131.9375
000651.SZ,2010-01-11,26.55,26.66,25.3,25.45,26.19,-0.74,-2.83,258333.08,660205.6098
000651.SZ,2010-01-12,25.46,26.06,25.18,25.89,25.45,0.44,1.73,182042.2,466505.4415
000651.SZ,2010-01-13,25.38,25.72,25.2,25.4,25.89,-0.49,-1.89,184530.5,468635.5984
000651.SZ,2010-01-14,25.44,26.3,25.44,26.28,25.4,0.88,3.46,172864.01,450813.1445
000651.SZ,2010-01-15,26.3,26.35,25.7,25.91,26.28,-0.37,-1.41,142205.77,369198.9665
000651.SZ,2010-01-18,25.9,26.15,25.56,25.89,25.91,-0.02,-0.08,120672.03,311496.5627
000651.SZ,2010-01-19,26.0,26.13,25.68,26.0,25.89,0.11,0.42,130816.01,338273.7468
000651.SZ,2010-01-20,26.0,26.14,25.2,25.29,26.0,-0.71,-2.73,119648.61,305797.8076
000651.SZ,2010-01-21,25.33,25.45,24.29,24.63,25.29,-0.66,-2.61,222979.83,550970.0967
000651.SZ,2010-01-22,24.39,24.39,23.74,24.0,24.63,-0.63,-2.56,163655.89,393603.5039
000651.SZ,2010-01-25,24.01,24.71,24.0,24.04,24.0,0.04,0.17,77977.9,189327.7251
000651.SZ,2010-01-26,24.12,24.42,23.81,23.96,24.04,-0.08,-0.33,112722.05,271517.9957
000651.SZ,2010-01-27,23.96,24.17,23.5,23.99,23.96,0.03,0.13,148305.84,353552.5014
000651.SZ,2010-01-28,24.01,24.49,23.8,24.41,23.99,0.42,1.75,78375.05,190347.4233
000651.SZ,2010-01-29,24.33,24.75,23.85,23.94,24.41,-0.47,-1.93,112982.94,274918.8817
000651.SZ,2010-02-01,24.01,24.5,23.8,24.39,23.94,0.45,1.88,104066.72,251071.0887
000651.SZ,2010-02-02,24.4,24.68,24.4,24.45,24.39,0.06,0.25,62153.84,152514.4629
000651.SZ,2010-02-03,24.51,25.23,23.97,25.08,24.45,0.63,2.58,124259.17,307065.3441
000651.SZ,2010-02-04,24.95,24.99,24.27,24.35,25.08,-0.73,-2.91,120421.9,295580.9939
000651.SZ,2010-02-05,23.94,24.2,23.51,23.79,24.35,-0.56,-2.3,86925.42,206911.5626
000651.SZ,2010-02-08,23.78,23.88,23.52,23.63,23.79,-0.16,-0.67,41873.62,99064.8992
000651.SZ,2010-02-09,23.63,23.78,22.8,23.13,23.63,-0.5,-2.12,107961.6,250435.726
000651.SZ,2010-02-10,23.3,24.0,23.3,23.83,23.13,0.7,3.03,105685.71,251133.6751
000651.SZ,2010-02-11,23.84,24.34,23.8,24.21,23.83,0.38,1.59,79289.47,191363.4052
000651.SZ,2010-02-12,24.27,24.45,24.08,24.28,24.21,0.07,0.29,46493.76,112790.9559
000651.SZ,2010-02-22,24.25,24.65,23.9,24.4,24.28,0.12,0.49,83784.99,203179.3561
000651.SZ,2010-02-23,24.38,24.65,24.3,24.49,24.4,0.09,0.37,94222.83,230520.8791
000651.SZ,2010-02-24,24.4,25.1,24.32,25.0,24.49,0.51,2.08,170955.23,425803.5854
000651.SZ,2010-02-25,25.3,26.7,25.3,25.98,25.0,0.98,3.92,438293.15,1141364.5069
000651.SZ,2010-03-01,25.98,26.31,25.7,26.01,25.98,0.03,0.12,176075.76,458475.9592
000651.SZ,2010-03-02,26.01,26.3,26.01,26.13,26.01,0.12,0.46,140897.01,368947.2602
000651.SZ,2010-03-03,26.2,26.77,25.93,26.76,26.13,0.63,2.41,154528.99,406982.3451
000651.SZ,2010-03-04,26.76,27.26,25.98,26.19,26.76,-0.57,-2.13,184226.26,492869.0268
000651.SZ,2010-03-05,26.16,26.96,26.16,26.9,26.19,0.71,2.71,151573.64,404137.8458
000651.SZ,2010-03-08,26.92,27.08,26.65,26.9,26.9,0.0,0.0,127701.44,343624.7419
000651.SZ,2010-03-09,27.0,27.06,26.32,26.5,26.9,-0.4,-1.49,116983.5,309537.1463
000651.SZ,2010-03-10,26.5,26.69,26.11,26.16,26.5,-0.34,-1.28,88073.22,232075.8695
000651.SZ,2010-03-11,26.24,26.35,25.75,25.92,26.16,-0.24,-0.92,66783.49,173954.703
000651.SZ,2010-03-12,25.9,26.1,25.72,26.01,25.92,0.09,0.35,83307.16,216272.4345
000651.SZ,2010-03-15,25.91,26.0,25.25,25.3,26.01,-0.71,-2.73,59464.56,151363.7191
000651.SZ,2010-03-16,25.35,25.68,25.18,25.6,25.3,0.3,1.19,43260.3,110066.1646
000651.SZ,2010-03-17,25.65,26.43,25.65,26.26,25.6,0.66,2.58,101422.15,265373.4549
000651.SZ,2010-03-18,26.35,26.82,26.22,26.44,26.26,0.18,0.69,91329.57,242960.6398
000651.SZ,2010-03-19,26.51,26.96,26.24,26.91,26.44,0.47,1.78,107059.55,286363.45
000651.SZ,2010-03-22,26.91,27.06,26.69,26.83,26.91,-0.08,-0.3,84537.29,227419.1688
000651.SZ,2010-03-23,26.83,27.58,26.73,27.4,26.83,0.57,2.12,164240.21,448198.798
000651.SZ,2010-03-24,27.35,28.0,27.1,27.69,27.4,0.29,1.06,159819.66,439381.1066
000651.SZ,2010-03-25,27.7,27.7,26.72,26.8,27.69,-0.89,-3.21,125491.75,340095.5792
000651.SZ,2010-03-26,26.8,27.7,26.65,27.59,26.8,0.79,2.95,67314.53,182920.0862
000651.SZ,2010-03-29,27.6,28.69,27.41,28.19,27.59,0.6,2.17,149145.67,415489.9733
000651.SZ,2010-03-30,28.19,28.45,28.01,28.25,28.19,0.06,0.21,67240.57,189702.6546
000651.SZ,2010-03-31,28.15,28.3,27.76,28.2,28.25,-0.05,-0.18,83506.38,233686.7334
000651.SZ,2010-04-01,28.18,28.99,27.88,28.69,28.2,0.49,1.74,174834.54,495659.569
000651.SZ,2010-04-02,28.56,28.99,28.28,28.48,28.69,-0.21,-0.73,87702.5,250945.9069
000651.SZ,2010-04-06,28.72,28.72,27.4,27.45,28.48,-1.03,-3.62,132065.31,367183.7732
000651.SZ,2010-04-07,27.45,27.5,26.72,26.89,27.45,-0.56,-2.04,151260.35,407933.0835
000651.SZ,2010-04-08,26.85,27.43,26.36,26.7,26.89,-0.19,-0.71,153798.05,413105.7106
000651.SZ,2010-04-09,26.89,27.06,26.4,26.96,26.7,0.26,0.97,122015.66,326694.1084
000651.SZ,2010-04-12,27.0,27.11,26.36,26.58,26.96,-0.38,-1.41,108984.84,290388.391
000651.SZ,2010-04-13,26.58,27.0,25.81,26.7,26.58,0.12,0.45,173169.09,455796.129
000651.SZ,2010-04-14,26.64,26.8,26.35,26.55,26.7,-0.15,-0.56,82160.79,218317.5507
000651.SZ,2010-04-15,26.5,26.55,26.0,26.21,26.55,-0.34,-1.28,87207.38,228334.1567
000651.SZ,2010-04-16,26.1,26.66,26.09,26.46,26.21,0.25,0.95,80983.38,213605.7056
000651.SZ,2010-04-19,26.3,26.3,24.69,24.95,26.46,-1.51,-5.71,282797.66,710936.6598
000651.SZ,2010-04-20,24.7,25.1,23.82,23.82,24.95,-1.13,-4.53,245205.09,593262.6256
000651.SZ,2010-04-21,23.88,24.5,23.88,24.28,23.82,0.46,1.93,180468.87,435661.1259
000651.SZ,2010-04-22,24.32,25.19,24.1,24.9,24.28,0.62,2.55,182855.08,454478.2926
000651.SZ,2010-04-23,24.91,25.19,24.58,24.74,24.9,-0.16,-0.64,123758.14,307494.154
000651.SZ,2010-04-26,24.9,25.14,23.7,23.87,24.74,-0.87,-3.52,189469.15,458290.4091
000651.SZ,2010-04-27,24.35,24.5,23.29,23.7,23.87,-0.17,-0.71,212457.37,504626.6348
000651.SZ,2010-04-28,23.81,24.2,23.51,23.97,23.7,0.27,1.14,137765.48,329531.706
000651.SZ,2010-04-29,23.93,23.97,22.19,22.42,23.97,-1.55,-6.47,347686.0,792895.0527
