Date,Open,High,Low,Close,Volume
2010-01-31,29.0,29.1,23.5,23.94,3454343.71
2010-02-28,24.01,26.7,22.8,25.98,1666387.4100000001
2010-03-31,25.98,28.69,25.18,28.2,2593982.66
2010-04-30,28.18,28.99,21.21,21.97,3544852.61
2010-05-31,21.54,22.25,18.89,21.0,3919495.87
2010-06-30,20.98,21.5,18.5,18.8,2645177.68
2010-07-31,18.85,21.15,12.65,14.95,5003008.33
2010-08-31,14.95,16.08,14.1,15.19,7393939.33
2010-09-30,15.17,15.65,13.63,14.18,4950398.57
2010-10-31,14.5,20.15,14.28,18.5,9124506.32
2010-11-30,18.56,19.83,15.8,17.37,9057834.8
2010-12-31,17.2,19.18,16.9,18.13,6702918.28
2011-01-31,18.2,18.38,15.9,17.23,3583948.1
2011-02-28,17.22,21.27,16.8,21.21,6011365.69
2011-03-31,21.28,24.4,20.5,22.66,6660432.62
2011-04-30,22.5,24.38,21.2,21.98,3380247.25
2011-05-31,21.94,24.05,20.91,21.43,3603979.17
2011-06-30,21.43,23.85,20.69,23.5,3588163.6
2011-07-31,23.76,24.61,22.63,23.17,4741264.4399999995
2011-08-31,23.17,23.33,20.05,20.93,3487630.04
2011-09-30,20.97,21.26,18.76,19.99,2285477.4699999997
2011-10-31,20.09,20.27,17.86,19.75,2229852.23
2011-11-30,19.63,20.43,17.21,17.4,2709969.93
2011-12-31,17.9,18.12,16.16,17.29,2461737.19
2012-01-31,17.5,18.93,17.07,18.2,3027676.82
2012-02-29,18.16,20.55,17.81,19.92,3074346.28
2012-03-31,19.83,21.75,19.46,20.33,3250739.32
2012-04-30,20.33,21.94,20.15,21.89,1978438.84
2012-05-31,22.3,22.94,21.12,22.8,3682315.5
2012-06-30,22.8,22.92,20.39,20.85,2606732.87
2012-07-31,21.0,22.53,20.66,21.74,2470283.14
2012-08-31,21.8,21.91,19.5,20.47,2202582.55
2012-09-30,20.4,21.8,19.85,21.38,1795500.1400000001
2012-10-31,21.45,23.35,20.66,23.09,1514072.34
2012-11-30,22.99,23.79,22.35,23.47,2438965.8
2012-12-31,23.45,26.16,21.6,25.5,5061826.12
2013-01-31,25.6,29.83,24.97,29.27,3687152.86
2013-02-28,28.98,29.99,27.21,29.05,2381837.15
2013-03-31,29.05,29.75,26.22,28.57,3359206.56
2013-04-30,28.62,29.5,25.3,26.0,3735771.16
2013-05-31,26.01,28.42,25.1,26.81,4065806.63
2013-06-30,27.0,27.09,22.9,25.06,3626762.14
2013-07-31,25.18,26.69,23.1,26.03,3906711.55
2013-08-31,26.38,28.53,25.3,26.07,3533626.69
2013-09-30,26.0,28.51,25.28,26.56,3736193.36
2013-10-31,26.59,32.1,26.05,30.8,4227986.5
2013-11-30,31.04,31.88,28.4,31.2,3823242.45
2013-12-31,30.8,34.34,30.09,32.66,3329765.59
2014-01-31,32.55,32.88,27.85,28.36,3807471.49
2014-02-28,28.0,33.3,25.9,27.75,5815580.93
2014-03-31,27.6,28.87,26.09,28.0,4115249.22
2014-04-30,27.9,31.39,27.73,30.11,4688272.99
2014-05-31,30.01,31.28,28.88,30.96,2224123.39
2014-06-30,30.98,31.15,28.68,29.45,2288798.44
2014-07-31,29.49,30.68,27.24,30.24,4223136.63
2014-08-31,30.16,30.89,28.07,28.44,3020782.87
2014-09-30,28.5,29.95,27.55,27.73,4118692.24
2014-10-31,27.74,28.5,26.41,28.4,3730059.65
2014-11-30,28.46,30.75,27.96,30.29,5301662.69
2014-12-31,30.68,39.34,30.68,37.12,9768864.81
2015-01-31,37.9,44.44,37.9,40.4,7865357.77
2015-02-28,39.77,41.86,38.06,40.53,4364619.14
2015-03-31,40.57,46.5,37.51,43.78,9925107.8
2015-04-30,43.78,61.45,42.6,57.0,16477474.43
2015-05-31,57.17,62.6,50.61,62.21,16047169.47
2015-06-30,62.33,66.1,53.0,63.9,18557976.27
2015-07-31,63.9,64.87,19.64,22.31,40040772.49
2015-08-31,22.0,23.9,16.06,18.45,23819699.53
2015-09-30,17.9,18.36,15.72,16.18,14407194.91
2015-10-31,17.0,18.49,16.71,17.35,12656362.0
2015-11-30,17.47,19.98,17.35,18.33,15970656.27
2015-12-31,18.3,24.5,18.05,22.35,28574486.96
2016-01-31,22.36,22.47,17.93,18.73,10742844.51
2016-02-29,18.76,19.38,18.3,19.22,3489088.43
2016-09-30,19.49,23.58,19.49,22.22,20220741.400000002
2016-10-31,22.26,23.2,21.68,22.4,7882731.42
2016-11-30,22.0,29.39,22.0,28.47,21016022.48
2016-12-31,30.0,31.32,23.68,24.62,35760716.160000004
2017-01-31,24.7,25.94,23.31,25.78,9454194.47
2017-02-28,25.7,28.66,24.99,27.44,12896697.49
2017-03-31,27.5,32.68,27.05,31.7,17159364.19
2017-04-30,31.75,34.99,29.72,33.0,15794814.36
2017-05-31,32.7,34.3,30.56,34.08,14110571.31
2017-06-30,33.92,41.56,33.2,41.17,18750829.98
2017-07-31,41.3,41.79,37.2,39.24,15695436.93
2017-08-31,39.18,40.5,36.83,38.65,11763509.91
2017-09-30,38.67,39.63,36.42,37.9,12083729.72
2017-10-31,38.5,44.3,38.02,42.55,13198291.54
2017-11-30,42.6,48.19,41.35,42.45,17066041.31
2017-12-31,42.52,46.0,40.7,43.7,11345864.77
2018-01-31,44.2,58.7,44.18,55.94,17127423.419999998
2018-02-28,56.28,56.36,48.18,51.69,11110882.92
2018-03-31,51.35,53.95,44.53,46.9,12691837.19
2018-04-30,46.63,51.06,44.08,44.08,14500581.25
2018-05-31,44.23,48.75,44.22,47.5,13906602.66
2018-06-30,47.3,50.76,44.71,47.15,13010267.49
2018-07-31,47.0,47.2,42.9,44.17,10047553.17
2018-08-31,44.45,44.51,37.36,38.95,11221670.49
2018-09-30,38.77,40.43,35.6,40.2,10256924.14
2018-10-31,38.75,40.76,36.0,38.06,9951260.39
2018-11-30,38.55,40.52,36.67,36.85,7745915.15
2018-12-31,37.92,38.18,35.35,35.69,7908973.09
2019-01-31,36.45,41.75,35.56,41.75,10333882.11
2019-02-28,42.35,46.1,41.65,44.8,7341846.18
2019-03-31,45.16,48.43,44.26,47.21,11837350.49
2019-04-30,51.93,65.4,51.93,55.58,17571429.66
2019-05-31,53.38,56.58,50.52,52.31,11186470.27
2019-06-30,52.71,55.5,50.41,55.0,8514650.11
2019-07-31,56.24,59.0,53.53,55.09,7956888.12
2019-08-31,55.0,55.99,49.05,55.5,8114413.7700000005
2019-09-30,56.95,60.56,56.36,57.3,6372262.91
2019-10-31,57.5,60.39,56.04,58.7,4937313.76
2019-11-30,59.0,65.16,56.2,57.71,8809091.11
2019-12-31,60.0,66.1,59.2,65.58,7194120.609999999
2020-01-31,65.99,70.56,63.52,63.94,5824122.99
2020-02-29,58.0,64.45,57.55,59.2,10487182.42
2020-03-31,59.1,63.0,48.4,52.2,12407644.27
2020-04-30,51.55,57.6,50.88,54.77,9976935.21
2020-05-31,53.82,59.36,53.82,56.94,8774845.44
2020-06-30,57.51,63.0,56.18,56.57,10095397.65
2020-07-31,56.6,63.0,55.48,56.91,23687694.990000002
2020-08-31,57.16,57.63,52.37,54.5,12244375.34
2020-09-30,54.3,56.95,53.0,53.3,8044966.74
2020-10-31,54.47,59.56,54.11,58.43,7532938.3
2020-11-30,58.1,69.5,58.1,66.64,11798767.23
2020-12-31,66.2,69.79,58.69,61.94,10593514.8
2021-01-31,61.8,66.78,55.88,56.3,10129495.29
2021-02-28,56.51,61.8,55.75,59.0,7366780.84
2021-03-31,59.05,63.48,56.11,62.7,9669861.23
2021-04-30,62.69,63.5,57.39,59.91,6590729.0200000005
2021-05-31,59.65,61.13,54.7,56.3,7984370.85
2021-06-30,56.3,56.53,49.5,52.1,10054898.26
2021-07-31,52.12,52.5,46.16,47.5,10264727.9
2021-08-31,47.13,49.9,40.3,41.1,11303346.92
2021-09-30,41.5,41.88,37.44,38.75,14203905.97
2021-10-31,38.88,41.06,35.91,36.65,10359870.72
2021-11-30,36.32,37.29,34.1,34.56,12134433.89
2021-12-31,34.41,38.14,34.23,37.03,13637420.12
2022-01-31,37.03,41.11,36.84,37.83,14288266.81
2022-02-28,38.27,40.38,36.19,36.77,7416416.6899999995
2022-03-31,36.7,37.07,30.65,32.3,9780882.0
2022-04-30,32.1,33.41,29.65,31.21,6712200.32
2022-05-31,32.5,34.23,31.35,32.17,8087859.42
2022-06-30,32.18,35.2,31.01,33.72,15787516.66
2022-07-31,33.68,35.83,32.65,33.26,11572090.74
2022-08-31,33.2,33.24,29.85,31.93,7867241.34
2022-09-30,31.9,35.72,31.83,32.43,11228782.44
2022-10-31,32.6,32.82,28.49,28.67,6444700.71
2022-11-30,28.75,32.63,28.6,32.17,7987525.32
2022-12-31,32.5,34.1,32.01,32.32,6551199.17
2023-01-31,32.52,36.0,32.16,34.63,5005607.84
2023-02-28,34.8,37.31,33.82,35.52,6624272.83
2023-03-31,35.52,37.96,35.41,36.75,8831107.56
2023-04-30,36.85,42.62,36.5,39.34,9095381.4
2023-05-31,36.0,36.5,32.72,32.98,11576472.39
2023-06-30,32.9,37.68,32.51,36.51,9167532.95
2023-07-31,36.52,39.5,36.3,38.76,5933912.36
2023-08-31,38.66,39.08,34.15,35.79,6263738.0600000005
2023-09-30,35.9,37.33,35.61,36.3,4051467.58
2023-10-31,36.2,36.85,33.11,33.93,4397924.41
2023-11-30,33.85,34.42,32.2,32.95,5656103.68
