ts_code,Date,Open,High,Low,Close,pre_close,change,pct_chg,Volume,amount
600036.SH,2010-01-04,17.93,18.11,17.66,17.71,18.05,-0.34,-1.88,746135.58,1332370.091
600036.SH,2010-01-05,17.71,18.0,17.34,17.73,17.71,0.02,0.11,914013.73,1615349.974
600036.SH,2010-01-06,17.69,17.69,17.31,17.36,17.73,-0.37,-2.09,774277.06,1348702.948
600036.SH,2010-01-07,17.33,17.43,16.78,16.91,17.36,-0.45,-2.59,1019431.96,1742282.28
600036.SH,2010-01-08,16.88,16.98,16.68,16.91,16.91,0.0,0.0,803598.62,1351767.271
600036.SH,2010-01-11,17.88,17.91,16.8,16.94,16.91,0.03,0.18,1465692.5,2530625.181
600036.SH,2010-01-12,16.88,17.17,16.45,17.07,16.94,0.13,0.77,1121898.32,1879278.148
600036.SH,2010-01-13,16.52,16.7,15.97,16.15,17.07,-0.92,-5.39,2052232.76,3344313.047
600036.SH,2010-01-14,16.2,16.35,15.95,16.33,16.15,0.18,1.11,1247175.72,2011436.062
600036.SH,2010-01-15,16.27,16.46,16.03,16.31,16.33,-0.02,-0.12,873021.99,1417365.938
600036.SH,2010-01-18,16.1,16.29,15.99,16.18,16.31,-0.13,-0.8,960226.34,1546142.296
600036.SH,2010-01-19,16.22,16.4,16.16,16.25,16.18,0.07,0.43,984442.69,1601316.552
600036.SH,2010-01-20,16.29,16.31,15.82,15.86,16.25,-0.39,-2.4,1078806.28,1725434.301
600036.SH,2010-01-21,15.88,16.3,15.8,16.15,15.86,0.29,1.83,912858.13,1469683.734
600036.SH,2010-01-22,16.0,16.85,15.95,16.67,16.15,0.52,3.22,1944471.02,3191885.833
600036.SH,2010-01-25,16.39,16.79,16.15,16.23,16.67,-0.44,-2.64,956048.6,1565828.495
600036.SH,2010-01-26,16.23,16.36,15.9,16.09,16.23,-0.14,-0.86,973648.9,1565571.395
600036.SH,2010-01-27,16.11,16.17,15.4,15.44,16.09,-0.65,-4.04,1411065.41,2206603.674
600036.SH,2010-01-28,15.43,15.43,14.98,15.13,15.44,-0.31,-2.01,1114656.63,1690862.734
600036.SH,2010-01-29,15.0,15.5,14.94,15.17,15.13,0.04,0.26,923380.67,1411179.098
600036.SH,2010-02-01,15.19,15.42,14.86,15.29,15.17,0.12,0.79,871956.9,1313666.473
600036.SH,2010-02-02,15.4,15.88,15.31,15.63,15.29,0.34,2.22,1123238.04,1758471.919
600036.SH,2010-02-03,15.66,16.09,15.39,15.99,15.63,0.36,2.3,987548.82,1563011.931
600036.SH,2010-02-04,15.8,16.05,15.76,15.85,15.99,-0.14,-0.88,507177.79,805695.722
600036.SH,2010-02-05,15.6,15.74,15.29,15.48,15.85,-0.37,-2.33,556008.4,861379.137
600036.SH,2010-02-08,15.48,15.6,15.08,15.13,15.48,-0.35,-2.26,535139.64,815924.76
600036.SH,2010-02-09,15.15,15.39,15.11,15.31,15.13,0.18,1.19,429536.6,655032.98
600036.SH,2010-02-10,15.42,15.6,15.35,15.53,15.31,0.22,1.44,428959.05,664539.417
600036.SH,2010-02-11,15.58,15.71,15.49,15.56,15.53,0.03,0.19,388432.44,605445.056
600036.SH,2010-02-12,15.66,15.81,15.61,15.78,15.56,0.22,1.41,390076.63,614206.831
600036.SH,2010-02-22,15.7,15.95,15.53,15.73,15.78,-0.05,-0.32,375122.36,592096.519
600036.SH,2010-02-23,15.69,15.69,15.21,15.46,15.73,-0.27,-1.72,479831.22,738670.64
600036.SH,2010-02-24,15.27,15.56,15.2,15.55,15.46,0.09,0.58,406973.91,625196.032
600036.SH,2010-02-25,15.55,16.05,15.53,15.86,15.55,0.31,1.99,704463.88,1118873.396
600036.SH,2010-02-26,15.8,16.03,15.71,15.9,15.86,0.04,0.25,492145.21,783666.867
600036.SH,2010-03-01,15.95,16.35,15.9,16.3,15.9,0.4,2.52,813009.26,1318204.853
600036.SH,2010-03-02,16.4,16.55,16.3,16.46,16.3,0.16,0.98,1097808.37,1805331.4
600036.SH,2010-03-03,16.46,16.5,16.25,16.49,16.46,0.03,0.18,709333.93,1161657.569
600036.SH,2010-03-04,16.5,16.56,16.01,16.12,16.49,-0.37,-2.24,854536.48,1390873.694
600036.SH,2010-03-15,15.31,15.38,14.8,14.89,15.28,-0.39,-2.55,655561.81,985495.936
600036.SH,2010-03-16,14.89,15.4,14.8,15.37,14.89,0.48,3.22,651948.13,986746.175
600036.SH,2010-03-17,15.32,15.74,15.2,15.65,15.37,0.28,1.82,605339.87,937367.087
600036.SH,2010-03-18,15.65,15.77,15.47,15.53,15.65,-0.12,-0.77,542364.14,847490.025
600036.SH,2010-03-19,15.49,15.62,15.36,15.53,15.53,0.0,0.0,475023.36,736175.201
600036.SH,2010-03-22,15.53,15.97,15.51,15.67,15.53,0.14,0.9,652214.48,1027260.456
600036.SH,2010-03-23,15.71,15.86,15.5,15.57,15.67,-0.1,-0.64,481477.97,754545.796
600036.SH,2010-03-24,15.61,15.81,15.55,15.57,15.57,0.0,0.0,476514.03,748012.382
600036.SH,2010-03-25,15.53,15.54,15.29,15.43,15.57,-0.14,-0.9,389458.83,598626.532
600036.SH,2010-03-26,15.38,15.98,15.34,15.74,15.43,0.31,2.01,798330.17,1257764.458
600036.SH,2010-03-29,15.87,16.4,15.85,16.3,15.74,0.56,3.56,1573013.43,2553505.378
600036.SH,2010-03-30,16.35,16.52,16.2,16.44,16.3,0.14,0.86,895022.36,1468470.754
600036.SH,2010-03-31,16.43,16.5,16.21,16.28,16.44,-0.16,-0.97,556968.82,907779.854
600036.SH,2010-04-01,16.3,16.48,16.23,16.38,16.28,0.1,0.61,635958.85,1040503.144
600036.SH,2010-04-02,16.45,16.5,16.22,16.29,16.38,-0.09,-0.55,600849.45,979992.014
600036.SH,2010-04-06,16.41,16.68,16.29,16.38,16.29,0.09,0.55,779520.73,1283652.808
600036.SH,2010-04-07,16.36,16.4,16.1,16.26,16.38,-0.12,-0.73,637702.04,1035449.53
600036.SH,2010-04-08,16.24,16.24,15.75,15.92,16.26,-0.34,-2.09,831472.62,1327936.394
600036.SH,2010-04-09,15.9,16.09,15.88,16.04,15.92,0.12,0.75,552629.32,884348.347
600036.SH,2010-04-12,16.13,16.22,15.6,15.88,16.04,-0.16,-1.0,831300.63,1318452.657
600036.SH,2010-04-13,15.87,16.25,15.71,16.14,15.88,0.26,1.64,1093558.37,1754697.652
600036.SH,2010-04-14,16.19,16.25,16.03,16.14,16.14,0.0,0.0,669830.44,1080422.231
600036.SH,2010-04-15,16.21,16.24,15.88,16.09,16.14,-0.05,-0.31,794739.14,1275626.538
600036.SH,2010-04-16,16.04,16.06,15.67,15.69,16.09,-0.4,-2.49,785192.84,1238083.79
600036.SH,2010-04-19,15.38,15.38,14.28,14.69,15.69,-1.0,-6.37,2216151.81,3294024.522
600036.SH,2010-04-20,14.68,14.82,14.25,14.48,14.69,-0.21,-1.43,1357677.19,1961918.803
600036.SH,2010-04-21,14.52,14.68,14.25,14.66,14.48,0.18,1.24,1237929.37,1788933.241
600036.SH,2010-04-22,14.5,14.5,14.01,14.18,14.66,-0.48,-3.27,1709073.98,2420550.387
600036.SH,2010-04-23,14.19,14.38,13.99,14.17,14.18,-0.01,-0.07,1057509.16,1494785.831
600036.SH,2010-04-26,14.21,14.25,14.01,14.05,14.17,-0.12,-0.85,638387.1,902685.76
600036.SH,2010-04-27,14.01,14.03,13.58,13.8,14.05,-0.25,-1.78,937591.6,1296433.64
600036.SH,2010-04-28,13.68,13.94,13.51,13.82,13.8,0.02,0.14,682680.65,939065.477
600036.SH,2010-04-29,13.97,14.27,13.92,14.03,13.82,0.21,1.52,891714.73,1259234.95
600036.SH,2010-04-30,14.15,14.28,13.95,14.27,14.03,0.24,1.71,805378.49,1140398.655
600036.SH,2010-05-04,13.97,14.23,13.74,13.9,14.27,-0.37,-2.59,796001.22,1111677.929
600036.SH,2010-05-05,13.75,14.0,13.47,13.95,13.9,0.05,0.36,851186.57,1166086.132
600036.SH,2010-05-06,13.85,13.87,13.29,13.31,13.95,-0.64,-4.59,910129.55,1227756.955
600036.SH,2010-05-07,13.04,13.58,12.91,13.36,13.31,0.05,0.38,1003744.88,1335649.912
600036.SH,2010-05-10,13.38,13.68,13.33,13.59,13.36,0.23,1.72,637270.75,861222.521
600036.SH,2010-05-11,13.91,13.98,13.15,13.33,13.59,-0.26,-1.91,969945.29,1317667.14
600036.SH,2010-05-12,13.27,13.76,13.1,13.65,13.33,0.32,2.4,891015.64,1201910.669
600036.SH,2010-05-13,13.65,14.09,13.6,14.05,13.65,0.4,2.93,1284065.34,1787683.461
600036.SH,2010-05-14,13.93,14.01,13.74,13.88,14.05,-0.17,-1.21,601995.12,835493.704
600036.SH,2010-05-17,13.7,13.7,13.15,13.34,13.88,-0.54,-3.89,766394.35,1023923.407
600036.SH,2010-05-18,13.36,13.82,13.31,13.77,13.34,0.43,3.22,786123.56,1066581.343
600036.SH,2010-05-19,13.66,13.98,13.4,13.64,13.77,-0.13,-0.94,663389.92,908592.758
600036.SH,2010-05-20,13.51,13.81,13.46,13.55,13.64,-0.09,-0.66,449219.23,610337.519
600036.SH,2010-05-21,13.15,13.74,13.11,13.67,13.55,0.12,0.89,559810.35,756056.199
600036.SH,2010-05-24,13.73,14.21,13.73,14.02,13.67,0.35,2.56,1164721.08,1635243.586
600036.SH,2010-05-25,13.99,13.99,13.6,13.69,14.02,-0.33,-2.35,696017.83,959218.14
600036.SH,2010-05-26,13.73,13.84,13.55,13.64,13.69,-0.05,-0.37,492385.27,673396.09
600036.SH,2010-05-27,13.64,13.83,13.36,13.75,13.64,0.11,0.81,666636.32,908028.445
600036.SH,2010-05-28,13.9,13.93,13.5,13.62,13.75,-0.13,-0.95,652869.61,892922.191
600036.SH,2010-05-31,13.48,13.61,13.21,13.23,13.62,-0.39,-2.86,669749.31,895684.166
600036.SH,2010-06-01,13.2,13.38,13.07,13.13,13.23,-0.1,-0.76,643830.05,847555.6
600036.SH,2010-06-02,13.17,13.22,13.03,13.14,13.13,0.01,0.08,429623.33,564098.505
600036.SH,2010-06-03,13.24,13.38,13.13,13.15,13.14,0.01,0.08,584814.36,774042.11
600036.SH,2010-06-04,13.14,13.21,13.05,13.18,13.15,0.03,0.23,322708.27,423753.142
600036.SH,2010-06-07,13.0,13.05,12.7,12.8,13.18,-0.38,-2.88,734551.03,945623.276
600036.SH,2010-06-08,12.79,12.89,12.38,12.52,12.8,-0.28,-2.19,708671.31,893128.704
600036.SH,2010-06-09,12.6,13.15,12.31,13.03,12.52,0.51,4.07,1368747.64,1751165.466
600036.SH,2010-06-10,12.78,12.81,12.6,12.68,13.03,-0.35,-2.69,647016.97,822240.892
600036.SH,2010-06-11,12.78,13.01,12.68,12.73,12.68,0.05,0.39,616911.87,792495.703
600036.SH,2010-06-17,13.0,13.02,12.73,12.84,12.73,0.11,0.86,532636.72,686034.147
600036.SH,2010-06-18,12.84,13.07,12.74,12.86,12.84,0.02,0.16,618917.41,800668.829
600036.SH,2010-06-21,12.95,13.43,12.88,13.36,12.86,0.5,3.89,1173552.53,1552574.397
600036.SH,2010-06-22,13.36,13.43,13.25,13.32,13.36,-0.04,-0.3,593170.44,790164.849
600036.SH,2010-06-24,13.16,13.5,13.07,13.29,13.32,-0.03,-0.23,521247.16,691918.171
600036.SH,2010-06-25,13.2,13.51,13.17,13.39,13.29,0.1,0.75,585397.46,783830.388
600036.SH,2010-06-28,13.4,13.77,13.35,13.52,13.39,0.13,0.97,761947.39,1034967.178
600036.SH,2010-06-29,13.58,13.63,12.98,13.03,13.52,-0.49,-3.62,988201.67,1313718.722
600036.SH,2010-06-30,12.99,13.11,12.8,13.01,13.03,-0.02,-0.15,544867.9,707821.779
600036.SH,2010-07-01,12.82,13.03,12.74,12.81,12.8,0.01,0.08,481306.08,619400.703
600036.SH,2010-07-02,12.83,13.01,12.56,12.91,12.81,0.1,0.78,610832.48,781190.447
600036.SH,2010-07-05,12.8,13.01,12.66,12.78,12.91,-0.13,-1.01,512746.46,656375.291
600036.SH,2010-07-06,12.78,13.15,12.78,13.13,12.78,0.35,2.74,642022.77,831971.406
600036.SH,2010-07-07,13.07,13.2,13.02,13.15,13.13,0.02,0.15,431825.4,566175.644
600036.SH,2010-07-08,13.33,13.48,13.15,13.21,13.15,0.06,0.46,562314.27,748535.06
600036.SH,2010-07-09,13.28,13.85,13.11,13.63,13.21,0.42,3.18,1014631.54,1379341.612
600036.SH,2010-07-12,13.64,14.0,13.55,13.91,13.63,0.28,2.05,956178.46,1327310.468
600036.SH,2010-07-13,13.71,13.85,13.53,13.74,13.91,-0.17,-1.22,588476.7,806065.749
600036.SH,2010-07-14,13.78,14.08,13.7,13.84,13.74,0.1,0.73,822164.37,1144078.845
600036.SH,2010-07-15,13.8,14.04,13.54,13.56,13.84,-0.28,-2.02,663640.85,913372.836
600036.SH,2010-07-16,13.49,13.73,13.36,13.65,13.56,0.09,0.66,479943.02,648072.291
600036.SH,2010-07-19,13.54,14.02,13.48,14.01,13.65,0.36,2.64,869991.34,1207052.852
600036.SH,2010-07-20,14.0,14.25,13.91,14.0,14.01,-0.01,-0.07,1018438.07,1432244.425
600036.SH,2010-07-21,14.03,14.07,13.9,13.96,14.0,-0.04,-0.29,537298.31,750942.394
600036.SH,2010-07-22,13.9,14.2,13.9,14.14,13.96,0.18,1.29,700795.84,988205.686
600036.SH,2010-07-23,14.2,14.48,14.14,14.27,14.14,0.13,0.92,1094988.55,1565726.838
600036.SH,2010-07-26,14.3,14.35,14.08,14.26,14.27,-0.01,-0.07,439564.91,624937.923
600036.SH,2010-07-27,14.21,14.21,14.02,14.11,14.26,-0.15,-1.05,445213.86,628630.56
600036.SH,2010-07-28,14.15,14.52,14.03,14.47,14.11,0.36,2.55,940685.57,1350679.942
600036.SH,2010-07-29,14.47,14.66,14.4,14.54,14.47,0.07,0.48,843793.52,1225448.577
600036.SH,2010-07-30,14.46,14.61,14.33,14.52,14.54,-0.02,-0.14,486146.35,703712.439
600036.SH,2010-08-02,14.48,14.85,14.42,14.79,14.52,0.27,1.86,692891.36,1019991.435
600036.SH,2010-08-03,14.85,14.89,14.36,14.39,14.79,-0.4,-2.7,589604.22,863539.56
600036.SH,2010-08-04,14.36,14.48,14.07,14.32,14.39,-0.07,-0.49,795607.72,1133420.408
600036.SH,2010-08-05,14.32,14.36,13.97,14.03,14.32,-0.29,-2.03,942478.6,1326866.483
600036.SH,2010-08-06,14.0,14.24,13.85,14.18,14.03,0.15,1.07,682418.77,960233.061
600036.SH,2010-08-09,14.13,14.38,14.07,14.31,14.18,0.13,0.92,698233.13,996109.707
600036.SH,2010-08-10,14.3,14.46,13.85,13.86,14.31,-0.45,-3.14,759978.33,1066876.44
600036.SH,2010-08-11,13.83,13.97,13.79,13.88,13.86,0.02,0.14,487899.51,676781.297
600036.SH,2010-08-12,13.79,13.87,13.52,13.57,13.88,-0.31,-2.23,650337.85,887318.795
600036.SH,2010-08-13,13.59,13.75,13.33,13.72,13.57,0.15,1.11,794782.17,1075675.182
600036.SH,2010-08-16,13.6,14.06,13.55,13.98,13.72,0.26,1.9,690500.47,955709.253
600036.SH,2010-08-17,14.0,14.05,13.81,14.01,13.98,0.03,0.21,520809.18,726753.112
600036.SH,2010-08-18,14.0,14.21,13.83,13.88,14.01,-0.13,-0.93,674576.37,944919.094
600036.SH,2010-08-19,13.99,14.36,13.93,14.19,13.88,0.31,2.23,1113001.46,1575117.184
600036.SH,2010-08-20,14.17,14.39,14.04,14.09,14.19,-0.1,-0.7,942350.59,1338395.197
600036.SH,2010-08-23,14.1,14.45,14.1,14.2,14.09,0.11,0.78,643472.42,916453.773
600036.SH,2010-08-24,14.18,14.29,13.92,14.07,14.2,-0.13,-0.92,576895.8,813426.051
600036.SH,2010-08-25,13.99,14.02,13.6,13.65,14.07,-0.42,-2.99,749541.61,1031973.31
600036.SH,2010-08-26,13.68,13.74,13.5,13.58,13.65,-0.07,-0.51,503846.81,684959.671
600036.SH,2010-08-27,13.6,13.7,13.5,13.59,13.58,0.01,0.07,339878.04,462249.978
600036.SH,2010-08-30,13.65,13.88,13.6,13.75,13.59,0.16,1.18,683815.66,939409.011
600036.SH,2010-08-31,13.66,13.74,13.5,13.54,13.75,-0.21,-1.53,742569.3,1007590.728
600036.SH,2010-09-01,13.59,13.86,13.42,13.59,13.54,0.05,0.37,1013719.8,1376732.011
600036.SH,2010-09-02,13.79,13.82,13.55,13.65,13.59,0.06,0.44,800286.86,1091209.063
600036.SH,2010-09-03,13.67,13.72,13.42,13.64,13.65,-0.01,-0.07,737800.45,997589.431
600036.SH,2010-09-06,13.68,13.89,13.6,13.88,13.64,0.24,1.76,950192.36,1311176.856
600036.SH,2010-09-07,13.89,14.07,13.75,13.84,13.88,-0.04,-0.29,656643.96,913071.093
600036.SH,2010-09-08,13.77,13.77,13.51,13.56,13.84,-0.28,-2.02,906975.33,1230017.474
600036.SH,2010-09-09,13.58,13.58,13.18,13.23,13.56,-0.33,-2.43,1069617.93,1425353.48
600036.SH,2010-09-10,13.25,13.37,13.14,13.28,13.23,0.05,0.38,719205.2,952020.143
600036.SH,2010-09-13,13.27,13.38,13.05,13.26,13.28,-0.02,-0.15,1007275.97,1328454.647
600036.SH,2010-09-14,13.33,13.49,13.29,13.36,13.26,0.1,0.75,970183.64,1300524.9
600036.SH,2010-09-15,13.35,13.35,13.0,13.12,13.36,-0.24,-1.8,778446.55,1023944.989
600036.SH,2010-09-16,13.1,13.14,12.65,12.8,13.12,-0.32,-2.44,1084951.66,1396786.423
600036.SH,2010-09-17,12.83,12.95,12.7,12.85,12.8,0.05,0.39,539949.46,692184.522
600036.SH,2010-09-20,12.84,13.03,12.72,12.89,12.85,0.04,0.31,493167.15,634513.855
