Date,Open,High,Low,Close,Volume
2010-01-31,17.93,18.11,14.94,15.17,22277082.91
2010-02-28,15.19,16.09,14.86,15.9,8676610.89
2010-03-31,15.95,16.56,14.8,16.28,12227925.44
2010-04-30,16.3,16.68,13.51,14.27,19746848.51
2010-05-31,13.97,14.23,12.91,13.23,15512671.19
2010-06-30,13.2,13.77,12.31,13.01,12376813.51
2010-07-31,12.82,14.66,12.56,14.52,15142998.72
2010-08-31,14.48,14.89,13.33,13.54,15275489.37
2010-09-30,13.59,14.07,12.51,12.95,14444543.5
2010-10-31,13.1,16.08,12.93,14.57,26161114.49
2010-11-30,14.61,15.85,12.91,13.05,25427676.47
2010-12-31,13.05,13.66,12.5,12.81,16329785.58
2011-01-31,12.91,13.55,12.49,12.63,13788487.47
2011-02-28,12.65,13.36,12.52,12.87,10746650.27
2011-03-31,12.91,14.62,12.87,14.09,27636709.96
2011-04-30,13.98,15.53,13.92,14.46,16526356.41
2011-05-31,14.49,14.55,13.56,13.91,8005377.63
2011-06-30,13.85,13.93,12.6,13.02,9696547.83
2011-07-31,13.06,13.52,12.02,12.35,14623153.68
2011-08-31,12.29,12.4,11.01,11.85,13349781.91
2011-09-30,11.86,12.1,10.83,11.06,7818067.9399999995
2011-10-31,11.06,12.55,10.91,12.1,9269650.71
2011-11-30,12.03,12.45,11.18,11.21,7515857.65
2011-12-31,11.6,12.02,11.27,11.87,9242003.93
2012-01-31,11.95,13.0,11.63,12.65,9019688.53
2012-02-29,12.64,13.1,12.43,12.87,11600006.08
2012-03-31,12.85,13.07,11.78,11.9,11441056.99
2012-04-30,11.85,12.55,11.56,12.2,7991558.640000001
2012-05-31,12.35,12.48,11.53,11.66,11666897.63
2012-06-30,11.7,11.73,10.71,10.92,9492053.66
2012-07-31,10.96,11.0,9.54,9.92,11408293.12
2012-08-31,9.92,10.24,9.78,10.08,7186805.75
2012-09-30,10.06,10.33,9.57,10.16,8522342.1
2012-10-31,10.15,10.6,10.0,10.08,4895312.81
2012-11-30,10.08,10.49,9.79,10.02,5084500.42
2012-12-31,10.01,13.8,9.83,13.75,19699236.36
2013-01-31,13.82,14.8,13.16,14.3,24670641.37
2013-02-28,14.2,15.01,12.58,13.3,19063362.45
2013-03-31,13.3,13.6,11.7,12.63,19788232.21
2013-04-30,12.49,12.98,12.01,12.15,9797420.64
2013-05-31,12.1,14.1,11.95,13.58,19091975.35
2013-06-30,13.58,13.89,10.0,11.6,12529031.059999999
2013-07-31,11.5,12.43,10.4,10.6,13215161.01
2013-08-31,10.69,12.14,10.35,10.66,12572176.73
2013-09-30,10.7,12.19,10.61,10.92,16589380.95
2013-10-31,10.93,11.1,10.55,10.74,10612042.82
2013-11-30,10.87,11.39,10.24,10.91,16197515.99
2013-12-31,10.9,11.25,10.09,10.89,20129197.35
2014-01-31,10.84,10.98,10.28,10.36,9653837.93
2014-02-28,10.3,10.75,9.83,9.93,10876731.620000001
2014-03-31,9.86,9.93,9.41,9.82,12306253.9
2014-04-30,9.81,10.58,9.78,10.03,11325629.26
2014-05-31,10.0,10.25,9.79,10.15,6821351.93
2014-06-30,10.14,10.46,9.94,10.24,9100152.51
2014-07-31,10.25,11.17,9.63,11.07,14462070.35
2014-08-31,11.03,11.32,10.43,10.56,12095487.48
2014-09-30,10.59,10.97,10.31,10.39,13565466.97
2014-10-31,10.41,10.92,10.13,10.8,14545253.6
2014-11-30,10.85,12.3,10.5,12.15,32758288.75
2014-12-31,12.16,16.62,11.91,16.59,113080419.29
2015-01-31,16.56,17.2,14.15,14.34,58233258.04
2015-02-28,13.98,15.05,13.86,14.7,22655238.48
2015-03-31,14.78,16.41,13.8,15.57,51560834.17
2015-04-30,15.59,19.45,15.45,18.22,58406443.51
2015-05-31,18.23,19.52,16.79,18.07,49895258.08
2015-06-30,17.92,21.7,16.13,18.72,68994281.48
2015-07-31,18.33,20.8,16.44,17.3,83685914.07
2015-08-31,17.2,18.66,14.01,17.05,28203751.21
2015-09-30,16.88,18.41,16.03,17.77,18018775.32
2015-10-31,18.2,18.98,17.6,17.93,8406671.57
2015-11-30,17.78,19.98,16.9,17.2,13875152.53
2015-12-31,17.28,18.71,16.5,17.99,16050065.61
2016-01-31,17.91,17.95,14.62,14.99,7845439.66
2016-02-29,14.98,15.18,14.04,14.56,4572173.27
2016-03-31,14.56,16.45,14.36,16.09,10605556.19
2016-04-30,16.18,18.02,15.98,17.75,7763033.86
2016-05-31,17.79,18.03,16.98,18.0,4799484.6
2016-06-30,18.09,18.09,17.18,17.5,3436873.19
2016-07-31,17.5,17.92,16.89,17.16,3514137.77
2016-08-31,17.15,19.0,16.98,18.63,5967810.48
2016-09-30,18.6,18.82,17.48,18.0,2846262.69
2016-10-31,18.03,18.49,17.72,17.86,2469470.87
2016-11-30,17.87,19.2,17.76,18.55,7714940.7
2016-12-31,18.55,19.65,17.39,17.6,7136938.59
2017-01-31,17.6,19.25,17.57,19.0,4182538.26
2017-02-28,19.08,19.81,18.48,19.44,4895516.54
2017-03-31,19.45,19.51,18.48,19.17,7224661.73
2017-04-30,19.22,19.29,18.38,19.13,6732871.99
2017-05-31,19.14,23.06,18.54,22.42,11591244.09
2017-06-30,22.33,24.58,20.74,23.91,15620839.73
2017-07-31,23.8,26.24,22.82,25.57,11775725.11
2017-08-31,25.58,27.96,24.25,26.75,10468922.57
2017-09-30,26.74,27.37,25.12,25.55,8244244.21
2017-10-31,26.8,28.14,25.42,27.1,10346536.370000001
2017-11-30,27.11,31.66,26.27,28.99,17867076.4
2017-12-31,28.99,30.0,27.85,29.02,11914107.79
2018-01-31,29.02,35.35,29.02,33.94,15483048.91
2018-02-28,34.05,35.11,28.6,30.3,12418431.71
2018-03-31,30.03,31.8,28.2,29.09,11266067.84
2018-04-30,29.0,30.95,27.36,29.33,8324746.02
2018-05-31,29.98,31.21,28.28,28.78,8639348.57
2018-06-30,28.78,29.35,25.6,26.44,8492232.86
2018-07-31,26.44,28.95,24.7,28.39,10222550.93
2018-08-31,28.69,29.09,26.2,28.29,8643058.23
2018-09-30,28.32,31.11,27.01,30.69,7196566.8
2018-10-31,29.7,30.54,27.42,28.91,11138904.32
2018-11-30,29.45,30.45,27.85,28.55,10821496.74
2018-12-31,29.49,29.63,24.77,25.2,10147968.18
2019-01-31,25.15,29.29,24.38,29.21,9522651.21
2019-02-28,29.21,33.0,28.88,31.74,8118886.67
2019-03-31,32.05,34.32,30.18,33.92,13349023.27
2019-04-30,34.2,36.48,33.85,34.45,13279266.8
2019-05-31,33.2,34.7,32.02,34.21,9667110.75
2019-06-30,34.25,38.5,33.38,35.98,10988161.43
2019-07-31,36.75,37.48,34.5,36.56,9259267.32
2019-08-31,36.4,36.59,33.7,34.28,10806379.36
2019-09-30,34.28,36.44,33.87,34.75,11396988.28
2019-10-31,34.7,37.45,34.5,35.5,8801170.03
2019-11-30,35.57,38.55,35.38,36.03,8936349.56
2019-12-31,36.1,38.5,35.73,37.58,7246061.46
2020-01-31,38.03,40.16,36.45,36.81,7544451.62
2020-02-29,33.8,36.17,33.8,34.2,13991539.67
2020-03-31,34.24,36.32,28.71,32.28,18270613.04
2020-04-30,32.12,36.05,31.71,35.09,8068786.1
