Date,Open,High,Low,Close,Volume
2010-01-08,172.0,172.0,160.1,162.0,201234.72999999998
2010-01-15,163.6,173.38,160.5,169.87,185842.01
2010-01-22,170.0,172.26,161.89,164.13,102943.81
2010-01-29,163.85,170.35,162.51,168.54,142885.22
2010-02-05,168.88,171.88,164.2,171.25,116893.75
2010-02-12,171.25,175.6,170.52,173.09,76336.93
2010-02-26,173.0,173.1,164.7,166.84,71297.02
2010-03-05,166.45,167.45,164.0,164.41,77089.35
2010-03-12,164.48,164.98,161.59,161.92,73125.3
2010-03-19,161.91,161.91,157.75,158.76,70371.82
2010-03-26,159.24,160.88,156.92,159.66,91854.98999999999
2010-04-02,159.7,161.97,151.6,152.63,243655.22000000003
2010-04-09,151.9,152.99,147.79,149.14,181523.36000000002
2010-04-16,149.2,150.99,146.78,147.98,209200.80000000002
2010-04-23,148.01,149.6,140.12,143.83,257836.18
2010-04-30,139.0,139.58,127.75,129.03,311625.94
2010-05-07,127.99,131.24,125.5,130.01,117309.04000000001
2010-05-14,132.0,136.11,130.0,134.95,166643.88
2010-05-21,134.7,134.7,126.18,134.21,104561.86
2010-05-28,134.99,136.5,130.16,131.94,62859.55
2010-06-04,133.5,138.4,130.5,138.12,123950.73999999999
2010-06-11,137.0,142.6,136.0,138.71,101927.8
2010-06-18,139.2,139.49,131.01,132.26,32626.0
2010-06-25,132.4,134.5,128.83,130.52,95901.25
2010-07-02,130.2,130.22,125.51,127.68,84326.15
2010-07-09,126.5,132.2,124.56,131.06,74030.37
2010-07-16,130.8,134.34,128.51,133.81,86698.87
2010-07-23,133.05,141.02,132.91,140.71,125349.19
2010-07-30,140.71,143.1,137.5,138.67,149797.94
2010-08-06,138.63,149.35,138.63,148.2,141695.75
2010-08-13,148.25,153.59,146.0,150.39,129435.76
2010-08-20,150.41,156.42,148.48,148.89,148110.53
2010-08-27,148.25,152.99,148.0,151.06,61592.990000000005
2010-09-03,151.68,165.38,151.68,162.62,163357.1
2010-09-10,164.0,169.9,164.0,169.49,107764.43
2010-09-17,169.0,173.45,156.89,161.81,113951.97
2010-09-24,162.86,166.88,162.0,166.08,27516.43
2010-10-01,166.1,171.55,165.3,168.73,68984.48
2010-10-08,169.0,175.5,169.0,173.53,31608.89
2010-10-15,174.0,176.43,156.81,159.98,257917.0
2010-10-22,160.0,171.6,154.8,168.11,276054.27
2010-10-29,169.0,173.8,160.5,163.15,178604.7
2010-11-05,163.2,166.0,161.5,163.98,233488.36
2010-11-12,163.99,188.08,161.25,177.53,468354.61
2010-11-19,181.99,188.0,163.8,175.16,321080.4
2010-11-26,174.88,212.67,173.8,207.24,376589.08
2010-12-03,205.25,222.0,197.7,199.79,257158.41
2010-12-10,199.85,202.0,189.86,197.72,167469.77000000002
2010-12-17,197.5,212.5,193.5,204.42,286146.75
2010-12-24,205.98,206.66,187.0,188.72,234220.3
2010-12-31,189.0,189.99,177.4,183.92,212249.99
2011-01-07,186.9,187.9,178.44,179.72,186778.63999999998
2011-01-14,179.62,181.21,171.21,180.19,182544.58
2011-01-21,179.7,183.99,173.99,175.89,156026.6
2011-01-28,175.87,177.48,169.58,173.34,115375.54
2011-02-04,173.5,181.85,173.01,180.28,50200.89
2011-02-11,179.99,188.45,177.0,184.93,87685.47
2011-02-18,184.93,188.8,180.3,181.98,175988.26
2011-02-25,182.0,185.25,179.2,179.62,134895.68
2011-03-04,179.3,179.93,174.5,175.93,165334.28999999998
2011-03-11,175.84,184.2,174.8,180.04,166232.28
2011-03-18,179.52,194.1,177.03,191.15,227454.61000000002
2011-03-25,189.8,190.98,183.0,183.43,168679.34
2011-04-01,183.55,184.4,178.3,179.46,123175.51000000001
2011-04-08,179.4,179.9,174.78,175.66,97428.7
2011-04-15,175.45,179.34,170.77,172.38,180456.98
2011-04-22,172.18,177.59,171.21,176.15,108183.51
2011-04-29,180.0,185.08,177.68,182.31,176510.41
2011-05-06,183.0,188.08,182.0,185.81,124446.02
2011-05-13,186.58,189.5,182.78,187.66,78272.33
2011-05-20,187.5,201.66,186.0,200.83,220318.97
2011-05-27,200.0,202.79,193.21,193.74,134117.89
2011-06-03,192.18,212.7,191.77,211.61,189303.98
2011-06-10,211.98,211.99,199.8,202.56,122405.51
2011-06-17,202.5,209.99,198.8,208.63,133043.47999999998
2011-06-24,208.1,210.15,201.0,206.44,116185.33
2011-07-01,207.2,213.3,189.9,191.63,116839.31
2011-07-08,191.21,196.08,189.8,194.08,151290.59
2011-07-15,194.06,198.07,192.59,195.15,118799.13
2011-07-22,195.2,208.88,195.2,206.28,165304.84
2011-07-29,207.0,207.9,202.0,206.69,132755.82
2011-08-05,207.33,207.33,198.55,203.13,102576.91
2011-08-12,201.01,217.6,193.0,216.77,213660.39
2011-08-19,217.2,218.79,206.36,209.9,147325.28
2011-08-26,210.1,212.99,203.4,212.88,122532.59
2011-09-02,212.0,219.5,209.5,211.86,144435.24
2011-09-09,211.19,211.38,202.28,207.08,106937.09
2011-09-16,204.59,206.0,194.17,202.92,103726.19
2011-09-23,203.7,205.03,189.89,194.05,153650.13
2011-09-30,191.86,194.25,184.9,190.59,147651.1
2011-10-14,190.88,194.84,183.0,191.44,101078.79000000001
2011-10-21,192.17,201.5,190.6,194.39,117881.19
2011-10-28,195.8,206.8,194.4,205.01,140086.5
2011-11-04,205.3,211.5,202.51,207.76,130929.04000000001
2011-11-11,208.2,208.7,202.5,203.97,93126.72
2011-11-18,205.49,208.15,199.7,200.57,100810.8
2011-11-25,200.7,213.34,200.11,209.98,152374.81
2011-12-02,210.31,216.2,208.8,214.03,196050.88
2011-12-09,214.45,214.45,199.7,199.82,164918.33000000002
2011-12-16,199.82,201.98,195.05,201.78,132865.0
2011-12-23,200.97,202.8,195.8,200.76,99578.35
2011-12-30,200.61,200.62,186.49,193.3,155571.44
2012-01-06,191.5,192.77,181.65,186.64,89191.54
2012-01-13,186.0,194.66,181.77,188.69,153269.58000000002
2012-01-20,187.38,187.38,170.9,185.97,214190.7
2012-02-03,185.99,188.52,183.06,186.48,118122.27
2012-02-10,186.61,192.4,185.08,190.51,124433.13
2012-02-17,189.5,195.9,188.66,191.44,95799.70999999999
2012-02-24,192.96,198.21,190.4,198.08,112048.92000000001
2012-03-02,198.78,205.47,197.5,200.9,143830.1
2012-03-09,200.85,200.88,192.98,199.93,144040.66
2012-03-16,200.12,208.0,198.0,207.59,164376.24
2012-03-23,207.8,212.55,203.86,212.02,161769.25
2012-03-30,211.12,215.9,195.0,196.96,247163.63
2012-04-06,196.1,208.08,196.1,207.97,67690.87
2012-04-13,207.55,214.05,203.51,213.03,111526.15
2012-04-20,212.5,215.4,207.81,212.5,100451.01000000001
2012-04-27,211.72,225.48,209.86,224.56,128341.12000000001
2012-05-04,226.0,234.88,222.0,234.0,92873.64
2012-05-11,234.8,237.76,225.9,227.69,157653.91
2012-05-18,228.0,228.0,215.9,217.92,143555.43
2012-05-25,217.58,232.77,216.0,218.58,179337.31
2012-06-01,218.01,243.0,217.81,240.37,129405.81
2012-06-08,238.0,242.99,236.0,238.98,104581.4
2012-06-15,238.9,246.41,232.13,243.38,118461.79000000001
2012-06-22,243.41,248.31,238.8,239.78,65265.78
2012-06-29,238.1,242.31,232.62,239.15,113251.26
2012-07-06,240.0,261.98,236.02,259.99,182833.33
2012-07-13,259.88,265.01,248.38,262.7,154345.28
2012-07-20,262.1,266.08,239.9,243.08,192247.09
2012-07-27,239.88,259.5,239.0,249.45,122194.20000000001
2012-08-03,249.25,254.0,241.15,246.96,97203.7
2012-08-10,246.64,261.65,244.02,248.21,172231.78
2012-08-17,248.48,249.99,228.5,229.62,155101.93
2012-08-24,229.61,239.9,225.98,231.88,120430.62
2012-08-31,230.5,230.63,213.5,219.76,142453.26
2012-09-07,237.0,243.0,229.1,241.6,202606.21
2012-09-14,241.71,246.5,237.98,244.76,112209.68000000001
2012-09-21,245.0,246.68,228.12,230.59,116480.13
2012-09-28,229.0,245.95,228.08,245.8,122651.86
2012-10-12,245.3,245.3,237.48,243.51,82843.98
2012-10-19,244.77,254.96,244.77,253.0,103509.64
2012-10-26,252.68,253.53,240.07,241.09,82511.17
2012-11-02,241.59,250.85,239.05,248.36,81112.33
2012-11-09,246.99,246.99,233.66,234.81,108528.28
2012-11-16,235.0,235.78,222.5,224.4,84228.32
2012-11-23,224.4,224.4,206.8,222.23,223262.25
2012-11-30,221.41,221.8,213.21,216.01,94477.79
2012-12-07,213.0,213.0,184.0,198.79,486844.98
2012-12-14,198.5,214.98,198.5,207.92,297480.7
2012-12-21,206.0,221.0,202.0,216.6,225403.44
2012-12-28,212.01,215.58,200.0,212.3,321965.98
2013-01-04,213.31,214.8,205.0,206.94,110285.17
2013-01-11,205.88,217.65,202.5,211.26,227845.54
2013-01-18,208.5,212.1,200.11,203.76,281840.23
2013-01-25,202.8,202.8,186.1,189.05,339090.86
2013-02-01,186.0,187.8,172.0,178.98,428197.1
2013-02-08,180.0,188.4,173.8,187.86,289125.02999999997
2013-02-22,188.3,188.3,175.02,185.59,247586.62
2013-03-01,184.0,185.35,172.0,173.82,207251.91
2013-03-08,173.72,188.6,173.65,184.13,259425.32
2013-03-15,183.8,186.1,175.1,176.97,162213.95
2013-03-22,176.9,176.9,164.1,169.05,324511.89
2013-03-29,169.0,171.21,162.31,168.86,201316.75
2013-04-05,168.09,168.46,163.18,163.85,83644.2
2013-04-12,162.14,174.4,160.45,172.23,222315.37
2013-04-19,172.27,180.0,169.6,179.23,191643.94999999998
2013-04-26,178.9,178.9,170.3,173.99,145768.52
2013-05-03,173.0,174.02,169.03,172.45,50047.31
2013-05-10,173.0,200.92,171.98,197.11,262544.27
2013-05-17,197.11,201.6,190.01,195.91,171294.03
2013-05-24,196.8,207.17,193.51,200.93,207516.61
2013-05-31,201.97,206.87,197.0,197.1,132404.48
2013-06-07,198.1,205.3,193.51,196.26,165693.82
2013-06-14,195.12,198.48,189.58,194.02,77517.31
2013-06-21,194.27,195.88,186.52,191.17,151217.17
2013-06-28,191.61,193.46,176.03,192.37,187268.95
2013-07-05,192.03,199.86,191.02,197.12,136700.39
2013-07-12,196.88,197.89,188.7,188.81,166640.72
2013-07-19,189.38,191.28,174.53,176.01,200026.2
2013-07-26,175.66,180.29,173.05,174.97,158471.87
2013-08-02,174.28,178.16,165.59,176.03,137680.69
2013-08-09,176.03,178.66,170.94,172.83,111971.05
2013-08-16,172.8,182.34,172.51,174.4,136887.66
2013-08-23,175.4,176.68,171.5,172.99,108742.71
2013-08-30,173.11,175.0,167.55,168.78,119590.34
2013-09-06,160.8,160.8,149.0,150.28,534038.69
2013-09-13,151.0,154.48,149.88,152.02,308354.92
2013-09-20,152.62,152.62,139.5,141.9,235252.75
2013-09-27,141.99,142.26,133.02,134.06,315884.86
2013-10-04,133.93,136.31,133.52,135.94,50460.64
2013-10-11,135.76,137.83,134.19,137.52,163183.37
2013-10-18,137.95,147.7,137.32,142.98,303561.64
2013-10-25,143.51,145.3,135.6,136.73,182658.96000000002
2013-11-01,135.78,136.77,131.5,135.18,149715.32
2013-11-08,135.45,141.01,134.7,136.14,134624.91
2013-11-15,138.0,146.45,136.18,143.44,211328.11
2013-11-22,144.0,144.86,137.98,138.47,169359.22
2013-11-29,137.78,142.65,137.52,141.44,100930.87
2013-12-06,140.01,140.27,135.34,138.75,157762.15
2013-12-13,138.6,138.7,136.0,136.4,108206.93
2013-12-20,136.01,136.42,126.0,126.65,124985.27
2013-12-27,126.43,127.7,124.14,126.2,125170.8
2014-01-03,126.45,129.31,122.5,123.98,135031.52
2014-01-10,122.88,124.9,118.01,119.27,149271.6
2014-01-17,119.3,122.65,118.05,120.3,152325.5
2014-01-24,121.9,135.69,121.02,135.5,245202.24
2014-01-31,134.89,143.78,131.0,132.2,188655.83000000002
2014-02-07,132.06,134.62,131.06,133.89,23865.61
2014-02-14,134.0,143.0,130.86,142.9,204520.0
2014-02-21,144.1,151.98,144.1,149.08,209902.55
2014-02-28,149.1,151.08,139.05,150.02,171544.8
2014-03-07,150.0,167.2,148.33,165.49,247746.64
2014-03-14,164.8,166.0,154.03,163.87,192882.14
2014-03-21,165.0,176.2,162.01,171.4,201252.4
2014-03-28,171.0,175.73,151.01,152.64,232418.69
2014-04-04,152.01,169.66,152.0,164.06,161453.81
2014-04-11,163.92,179.6,159.5,176.08,191950.03999999998
2014-04-18,174.7,177.77,170.19,175.31,124091.06
2014-04-25,174.01,176.71,161.79,164.69,182893.26
2014-05-02,162.08,165.48,159.81,163.88,80245.75
2014-05-09,163.5,163.5,157.08,160.62,93746.46
2014-05-16,162.29,162.3,154.01,155.16,111601.37
2014-05-23,152.5,153.6,143.6,152.3,174562.44
