Backtest Results Analysis
TS Code,000858.SZ
Initial Cash,10000.0
Strategy,MovingAverageStrategy
Returns
Total Cash,23240.090000000004
Total Return,84.3293711615557
Annual Return,256.98195983478047

Drawdown
Max Drawdown,29.64587099509714
Max Moneydown,9683.719999999998
Max Length,33

Sharpe Ratio
Sharpe Ratio,0.356458858391647

Win Rate
Win Rate,66.66666666666666

Transactions
Date,Amount,Price,Sid,Symbol,Value
2014-07-31 00:00:00,167,17.33,0,,-2894.1099999999997
2014-11-30 00:00:00,174,17.7,0,,-3079.7999999999997
2015-04-30 00:00:00,70,23.13,0,,-1619.1
2016-07-31 00:00:00,-265,32.4,0,,8586.0
2018-12-31 00:00:00,-146,54.07,0,,7894.22
2019-04-30 00:00:00,59,95.0,0,,-5605.0
2019-05-31 00:00:00,54,98.34,0,,-5310.360000000001
2020-04-30 00:00:00,-23,116.0,0,,2668.0
2020-07-31 00:00:00,-44,171.12,0,,7529.280000000001
2021-09-30 00:00:00,-30,201.7,0,,6051.0
2021-11-30 00:00:00,-16,200.0,0,,3200.0
2023-04-30 00:00:00,124,196.97999999999996,0,,-24425.519999999997
2023-07-31 00:00:00,-124,163.27,0,,20245.48

